Angle,speed(initial),speed(final-> after 1/4 sec),accleration (v-u)/4
596.08,102,102,0
595.08,102,102,0
66.08,102,102,0
41.08,102,102,0
41.08,82,68,-3.5
64.08,57,43,-3.5
57.08,42,102,15
52.08,102,102,0
51.08,102,102,0
51.08,102,102,0
51.08,102,102,0
52.08,102,102,0
52.08,102,102,0
51.08,102,102,0
51.08,102,102,0
51.08,102,102,0
50.08,102,102,0
50.08,102,102,0
50.08,102,102,0
50.08,102,102,0
45.08,102,102,0
34.08,82,86,1
50.08,72,63,-2.25
39.08,90,79,-2.75
38.08,41,53,3
16.08,25,35,2.5
45.08,12,31,4.75
56.08,23,37,3.5
59.08,34,31,-0.75
55.08,43,35,-2
59.08,41,32,-2.25
58.08,54,25,-7.25
58.08,42,35,-1.75
57.08,36,40,1
57.08,27,48,5.25
71.08,32,49,4.25
70.08,35,42,1.75
72.08,36,0,-9
71.08,23,0,-5.75
51.08,32,19,-3.25
5.08,44,28,-4
5.08,46,35,-2.75
5.08,42,36,-1.5
5.08,29,41,3
5.08,22,37,3.75
6.08,20,35,3.75
5.08,23,36,3.25
6.08,26,32,1.5
6.08,41,28,-3.25
7.08,46,33,-3.25
71.08,48,39,-2.25
72.08,49,39,-2.5
34.08,44,42,-0.5
15.08,31,44,3.25
69.08,32,40,2
43.08,24,34,2.5
72.08,29,40,2.75
49.08,34,35,0.25
32.08,47,32,-3.75
58.08,47,32,-3.75
55.08,32,28,-1
45.08,29,25,-1
55.08,32,30,-0.5
51.08,25,32,1.75
56.08,22,30,2
45.08,49,58,2.25
42.08,40,49,2.25
64.08,52,42,-2.5
59.08,48,25,-5.75
63.08,43,33,-2.5
50.08,48,42,-1.5
46.08,42,44,0.5
73.08,32,46,3.5
71.08,30,44,3.5
64.08,30,40,2.5
72.08,26,34,2
59.08,44,35,-2.25
43.08,46,32,-3.5
62.08,50,39,-2.75
72.08,47,31,-4
72.08,33,38,1.25
70.08,30,42,3
30.08,21,34,3.25
69.08,73,76,0.75
47.08,41,51,2.5
51.08,41,37,-1
72.08,58,45,-3.25
19.08,43,25,-4.5
52.08,42,40,-0.5
19.08,44,40,-1
20.08,30,41,2.75
69.08,25,35,2.5
36.08,27,40,3.25
21.08,29,38,2.25
72.08,33,37,1
72.08,40,36,-1
71.08,49,42,-1.75
72.08,50,43,-1.75
72.08,48,43,-1.25
72.08,42,45,0.75
45.08,33,42,2.25
12.08,28,39,2.75
13.08,28,36,2
14.08,27,31,1
15.08,71,61,-2.5
16.08,46,39,-1.75
16.08,44,37,-1.75
17.08,42,38,-1
17.08,36,36,0
17.08,32,34,0.5
17.08,0,0,0
22.08,0,0,0
23.08,0,0,0
24.08,0,0,0
22.08,0,0,0
22.08,0,1,0.25
24.08,30,18,-3
23.08,23,15,-2
37.08,31,31,0
40.08,27,38,2.75
41.08,24,38,3.5
42.08,24,38,3.5
43.08,26,36,2.5
35.08,37,31,-1.5
42.08,46,32,-3.5
43.08,27,17,-2.5
44.08,17,2,-3.75
45.08,25,23,-0.5
45.08,24,32,2
44.08,24,33,2.25
45.08,12,19,1.75
40.08,0,9,2.25
44.08,27,24,-0.75
46.08,0,0,0
49.08,0,3,0.75
49.08,30,17,-3.25
47.08,32,31,-0.25
49.08,25,35,2.5
49.08,29,39,2.5
48.08,18,27,2.25
48.08,20,37,4.25
47.08,24,32,2
47.08,47,37,-2.5
67.08,63,30,-8.25
66.08,53,52,-0.25
69.08,57,40,-4.25
70.08,34,40,1.5
70.08,32,34,0.5
69.08,33,42,2.25
68.08,29,33,1
47.08,23,40,4.25
47.08,39,25,-3.5
59.08,41,29,-3
65.08,49,34,-3.75
53.08,51,26,-6.25
65.08,62,58,-1
65.08,45,53,2
60.08,23,35,3
67.08,22,40,4.5
53.08,32,42,2.5
63.08,25,32,1.75
67.08,43,35,-2
41.08,56,32,-6
56.08,46,24,-5.5
69.08,48,39,-2.25
53.08,78,94,4
58.08,52,68,4
66.08,35,51,4
71.08,92,92,0
